,power kW
314,0.7637980911450696
315,0.7018685161873612
316,0.6502605370559377
317,0.6502605370559377
318,0.6605821328822223
319,0.6709037287085071
320,0.7431548994925001
321,0.8154060702764933
322,0.8876572410604863
323,0.9289436243656252
324,0.9495868160181946
325,0.9289436243656252
326,0.9083004327130557
327,0.8773356452342015
328,0.8463708577553474
329,0.8050844744502085
330,0.7947628786239238
331,0.7431548994925001
332,0.6915469203610766
333,0.6192957495770834
334,0.5160797913142362
335,0.4335070247039584
336,0.3406126622673959
337,0.2890046831359723
338,0.2580398956571181
339,0.23739670400454865
340,0.22707510817826393
341,0.2167535123519792
342,0.2167535123519792
343,0.20643191652569448
344,0.20643191652569448
345,0.2167535123519792
346,0.22707510817826393
347,0.24771829983083338
348,0.31996947061482645
349,0.40254223722510424
350,0.5367229829668057
351,0.6502605370559377
352,0.6399389412296529
353,0.5883309620982292
354,0.5367229829668057
355,0.5160797913142362
356,0.5057581954879514
357,0.49543659966166675
358,0.48511500383538203
359,0.48511500383538203
360,0.5057581954879514
361,0.5057581954879514
362,0.48511500383538203
363,0.4644718121828126
364,0.45415021635652786
365,0.4747934080090973
366,0.48511500383538203
367,0.5470445787930904
368,0.6605821328822223
369,0.8050844744502085
370,0.9186220285393405
371,0.9495868160181946
372,0.9495868160181946
373,0.9392652201919099
374,0.9083004327130557
375,0.8670140494079168
376,0.8257276661027779
377,0.8050844744502085
378,0.7947628786239238
379,0.7431548994925001
380,0.6915469203610766
381,0.6089741537507987
382,0.5057581954879514
383,0.4231854288776737
384,0.3406126622673959
385,0.2890046831359723
386,0.2580398956571181
387,0.23739670400454865
388,0.22707510817826393
389,0.2167535123519792
390,0.2167535123519792
391,0.20643191652569448
392,0.20643191652569448
393,0.2167535123519792
394,0.22707510817826393
395,0.24771829983083338
396,0.31996947061482645
397,0.40254223722510424
398,0.5367229829668057
399,0.6502605370559377
400,0.6399389412296529
401,0.5883309620982292
402,0.5367229829668057
403,0.5160797913142362
404,0.5057581954879514
405,0.49543659966166675
406,0.48511500383538203
407,0.48511500383538203
408,0.5057581954879514
409,0.5057581954879514
410,0.48511500383538203
411,0.4644718121828126
412,0.45415021635652786
413,0.4747934080090973
414,0.48511500383538203
415,0.5470445787930904
416,0.6605821328822223
417,0.8050844744502085
418,0.9186220285393405
419,0.9495868160181946
420,0.9495868160181946
421,0.9392652201919099
422,0.9083004327130557
423,0.8670140494079168
424,0.8257276661027779
425,0.8050844744502085
426,0.7947628786239238
427,0.7431548994925001
428,0.6915469203610766
429,0.6089741537507987
430,0.5057581954879514
431,0.4231854288776737
432,0.3406126622673959
433,0.2890046831359723
434,0.2580398956571181
435,0.23739670400454865
436,0.22707510817826393
437,0.2167535123519792
438,0.2167535123519792
439,0.20643191652569448
440,0.20643191652569448
441,0.2167535123519792
442,0.22707510817826393
443,0.24771829983083338
444,0.31996947061482645
445,0.40254223722510424
446,0.5367229829668057
447,0.6502605370559377
448,0.6399389412296529
449,0.5883309620982292
450,0.5367229829668057
451,0.5160797913142362
452,0.5057581954879514
453,0.49543659966166675
454,0.48511500383538203
455,0.48511500383538203
456,0.5057581954879514
457,0.5057581954879514
458,0.48511500383538203
459,0.4644718121828126
460,0.45415021635652786
461,0.4747934080090973
462,0.48511500383538203
463,0.5470445787930904
464,0.6605821328822223
465,0.8050844744502085
466,0.9186220285393405
467,0.9495868160181946
468,0.9495868160181946
469,0.9392652201919099
470,0.9083004327130557
471,0.8670140494079168
472,0.8257276661027779
473,0.8050844744502085
474,0.7947628786239238
475,0.7431548994925001
476,0.6915469203610766
477,0.6089741537507987
478,0.5057581954879514
479,0.4231854288776737
480,0.3406126622673959
481,0.2890046831359723
482,0.2580398956571181
483,0.23739670400454865
484,0.22707510817826393
485,0.2167535123519792
486,0.2167535123519792
487,0.20643191652569448
488,0.20643191652569448
489,0.2167535123519792
490,0.22707510817826393
491,0.24771829983083338
492,0.31996947061482645
493,0.40254223722510424
494,0.5367229829668057
495,0.6502605370559377
496,0.6399389412296529
497,0.5883309620982292
498,0.5367229829668057
499,0.5160797913142362
500,0.5057581954879514
501,0.49543659966166675
502,0.48511500383538203
503,0.48511500383538203
504,0.5057581954879514
505,0.5057581954879514
506,0.48511500383538203
507,0.4644718121828126
508,0.45415021635652786
509,0.4747934080090973
510,0.48511500383538203
511,0.5470445787930904
