,Charging Power (kW)
447,0.01505263407801299
448,0.006021053631205197
449,0.0030105268156025984
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.45157902234038977
479,0.6021053631205197
480,0.8429475083687274
481,0.9700586405830594
482,1.0737545642315933
483,1.1339651005436453
484,1.1440001899289873
485,0.9031580446807795
486,0.7526317039006495
487,0.5418948268084677
488,0.4214737541843637
489,0.3010526815602598
490,0.21073687709218186
491,0.12042107262410393
492,0.07827369720566754
493,0.06021053631205196
494,0.01806316089361559
495,0.01505263407801299
496,0.006021053631205197
497,0.0030105268156025984
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.45157902234038977
527,0.6021053631205197
528,0.8429475083687274
529,0.9700586405830594
530,1.0737545642315933
531,1.1339651005436453
532,1.1440001899289873
533,0.9031580446807795
534,0.7526317039006495
535,0.5418948268084677
536,0.4214737541843637
537,0.3010526815602598
538,0.21073687709218186
539,0.12042107262410393
540,0.07827369720566754
541,0.06021053631205196
542,0.01806316089361559
543,0.01505263407801299
544,0.006021053631205197
545,0.0030105268156025984
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.45157902234038977
575,0.6021053631205197
576,0.8429475083687274
577,0.9700586405830594
578,1.0737545642315933
579,1.1339651005436453
580,1.1440001899289873
581,0.9031580446807795
582,0.7526317039006495
583,0.5418948268084677
584,0.4214737541843637
585,0.3010526815602598
586,0.21073687709218186
587,0.12042107262410393
588,0.07827369720566754
589,0.06021053631205196
590,0.01806316089361559
591,0.01505263407801299
592,0.006021053631205197
593,0.0030105268156025984
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.45157902234038977
623,0.6021053631205197
624,0.8429475083687274
625,0.9700586405830594
626,1.0737545642315933
627,1.1339651005436453
628,1.1440001899289873
629,0.9031580446807795
630,0.7526317039006495
631,0.5418948268084677
632,0.4214737541843637
633,0.3010526815602598
634,0.21073687709218186
635,0.12042107262410393
636,0.07827369720566754
637,0.06021053631205196
638,0.01806316089361559
639,0.01505263407801299
640,0.006021053631205197
641,0.0030105268156025984
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.45157902234038977
671,0.6021053631205197
672,0.8429475083687274
